日期,现金,持仓市值,总资产,持仓数量
2018-01-02,309.42399999994086,1007285.155,1000000.0,5
2018-01-03,247.93399999992107,1006825.904,1007198.9839999999,5
2018-01-04,381.70799999998417,1011452.439,1011372.3759999999,5
2018-01-05,263.4299999999639,1016845.959,1017239.0019999999,5
2018-01-08,1179.942999999927,1013154.7590000001,1021880.068,5
2018-01-09,201421.7469999999,816217.929,1011702.3929999999,4
2018-01-10,198323.7719999999,816217.929,1003994.7919999998,4
2018-01-11,197981.2719999999,816217.929,1003374.0419999999,4
2018-01-12,198245.05099999992,816217.929,1004020.672,4
2018-01-15,193927.06299999994,816217.929,993074.9079999999,4
2018-01-16,193682.46299999996,817713.229,992373.383,4
2018-01-17,194361.02099999995,817713.229,993945.763,4
2018-01-18,196587.21999999997,820876.86,999685.3999999999,4
2018-01-19,197847.19999999995,820876.86,1002617.9099999999,4
2018-01-22,201658.37999999992,818378.618,1012603.9299999998,4
2018-01-23,202799.15799999994,829196.26,1015269.448,4
2018-01-24,2186.497999999934,1033973.48,1027111.7379999999,5
2018-01-25,4289.14599999995,1020470.688,1037525.2579999999,5
2018-01-26,3096.869999999937,1011450.228,1032052.8459999999,5
2018-01-29,285.24399999994785,1006946.278,1009957.7359999999,5
2018-01-30,150.17199999996228,1003522.766,1004928.932,5
2018-01-31,193720.86799999996,810109.6699999999,992583.2619999999,4
2018-02-01,191430.94799999997,810109.6699999999,986829.212,4
2018-02-02,194830.322,804815.24,995446.0719999999,4
2018-02-05,194762.286,805763.146,994891.4859999999,4
2018-02-06,191411.226,805763.146,986840.866,4
2018-02-07,193042.906,808241.1059999999,990646.2359999999,4
2018-02-08,193718.01599999997,808241.1059999999,992509.6259999999,4
2018-02-09,186607.63599999997,808241.1059999999,974847.826,4
2018-02-12,192630.57599999997,808241.1059999999,989837.556,4
2018-02-13,193659.07599999997,808241.1059999999,992330.0810000001,4
2018-02-14,192951.80599999995,808241.1059999999,990572.296,4
2018-02-22,194916.92099999997,808310.894,995507.4759999999,4
2018-02-23,193910.87299999996,814999.2479999999,993092.9269999999,4
2018-02-26,196586.59599999993,816826.4480000001,999848.2269999998,4
2018-02-27,198382.75599999996,813951.4280000001,1004252.068,4
2018-02-28,197279.41,811740.96,1001176.689,4
2018-03-01,1993.5899999999965,1006378.48,1013794.26,5
2018-03-02,196698.43999999997,811740.96,999851.57,4
2018-03-05,197154.94999999995,811740.96,1001182.6399999999,4
2018-03-06,194590.39999999997,811740.96,994731.02,4
2018-03-07,194630.83899999995,811109.1599999999,994608.82,4
2018-03-08,194048.18899999995,811109.1599999999,993327.619,4
2018-03-09,196126.56899999993,808163.9199999999,998368.737,4
2018-03-12,199753.45399999994,808163.9199999999,1007628.9389999999,4
2018-03-13,198145.12399999995,809714.2139999999,1003742.1539999999,4
2018-03-14,196637.63399999987,807230.574,999587.874,4
2018-03-15,196367.63399999985,807230.574,999147.0139999997,4
2018-03-16,198389.32999999987,805892.274,1004184.6699999998,4
2018-03-19,198133.5619999999,807944.324,1003501.9199999999,4
2018-03-20,199020.0719999999,807944.324,1005942.502,4
2018-03-21,199765.56899999987,807944.324,1007456.8119999999,4
2018-03-22,344.7589999999036,1006248.014,1006299.619,5
2018-03-23,195380.233,815683.1499999999,996733.8230000001,4
2018-03-26,197408.29499999998,821117.0499999999,1001845.8709999998,4
2018-03-27,202689.34499999997,821117.0499999999,1014918.4450000001,4
2018-03-28,1065.2289999999757,1022031.0299999999,1008256.3229999999,5
2018-03-29,200983.43899999993,820292.95,1010790.019,4
2018-03-30,1119.1489999999467,1033812.98,1021554.849,5
2018-04-02,3204.698999999904,1020351.88,1032088.5589999998,5
2018-04-03,2812.37899999987,1019763.2810000001,1030180.9889999998,5
2018-04-04,3004.543999999878,1015254.68,1031838.8779999998,5
2018-04-09,3229.303999999878,1015254.68,1032820.6339999998,5
2018-04-10,321.3039999998582,1017906.56,1017776.134,5
2018-04-11,323.165999999881,1015923.7100000001,1017421.5999999997,5
2018-04-12,202904.86599999986,813277.31,1015319.9009999998,4
2018-04-13,202129.50599999988,813277.31,1013512.1159999999,4
2018-04-16,201636.07799999992,813863.33,1012290.94,4
2018-04-17,200825.8179999999,813885.92,1010464.138,4
2018-04-18,200589.93999999994,814234.3699999999,1009641.7749999999,4
2018-04-19,200505.29499999998,813995.3099999999,1009460.9549999998,4
2018-04-20,199255.37499999997,813995.3099999999,1006425.395,4
2018-04-23,196258.661,813995.3099999999,999145.075,4
2018-04-24,198506.64899999992,812693.09,1004668.2249999999,4
2018-04-25,197685.54099999997,817401.651,1002441.0149999999,4
2018-04-26,196549.949,817401.651,999521.311,4
2018-04-27,196748.74899999998,818102.521,1000268.4389999999,4
2018-05-02,196268.74099999998,818102.521,999010.4169999999,4
2018-05-03,197210.02599999998,818102.521,1001211.701,4
2018-05-04,198233.44099999993,818721.451,1003824.338,4
2018-05-07,199146.69499999992,821162.6710000001,1005970.0139999999,4
2018-05-08,200777.06999999992,821162.6710000001,1010286.21,4
2018-05-09,200605.40199999994,821162.6710000001,1009723.578,4
2018-05-10,280.887000000017,1019273.9410000001,1019682.9320000001,5
2018-05-11,270.2410000000036,1012803.121,1011104.0970000001,5
2018-05-14,223.43599999995422,1005596.885,1004551.583,5
2018-05-15,150.07799999998974,1006784.3170000002,1005188.5199999999,5
2018-05-16,215.22700000000896,1007861.6450000001,1003763.9449999998,5
2018-05-17,228.158000000009,1010699.8650000001,1015650.8070000001,5
2018-05-18,325.39199999999255,1012395.9010000001,1022296.1869999999,5
2018-05-21,388.1729999999609,1005839.88,1026049.383,5
2018-05-22,212.79000000000815,1007081.799,1034612.993,5
2018-05-23,260.43900000007125,1006419.24,1026985.699,5
2018-05-24,269.80900000001384,989138.75,1028116.759,5
2018-05-25,216.6710000000021,985297.19,1011252.999,5
2018-05-28,247.6249999999709,983278.47,997271.5930000001,5
2018-05-29,278.16099999996135,983485.659,989837.963,5
2018-05-30,205.23999999996158,983723.6299999999,970949.1699999999,5
