阶段,总耗时(秒),平均耗时(秒),调用次数,最小耗时(秒),最大耗时(秒),占比
保存每日快照,0.025,0.0,7260,0.0,0.0015,0.75%
分析回测结果,0.0165,0.0016,10,0.001,0.002,0.50%
执行买入操作,0.0624,0.0,46060,0.0,0.0013,1.88%
执行再平衡,0.2113,0.0,7260,0.0,0.021,6.37%
执行卖出操作,0.0493,0.0,35239,0.0,0.0015,1.49%
数据文件加载,0.0819,0.0819,1,0.0819,0.0819,2.47%
数据结构处理,0.0081,0.0081,1,0.0081,0.0081,0.24%
更新持仓市值,0.0667,0.0,7260,0.0,0.0015,2.01%
获取每日价格字典,0.008,0.0,7260,0.0,0.001,0.24%
计算应该持有多少,0.227,0.0,7260,0.0,0.0015,6.84%
预处理所有数据,1.1675,0.1167,10,0.0963,0.1269,35.18%
预处理每日数据,1.3944,1.3944,1,1.3944,1.3944,42.02%
